epoch,epoch_loss,split,loss,acc,sample_fn
89,0.76076436,test,0.8264192,0.6699272636067218,gumbel_soft
90,0.76868045,train,0.78167284,0.6918229199111278,gumbel_soft
90,0.76868045,val,0.79476774,0.6915783602900167,gumbel_soft
90,0.76868045,test,0.7734149,0.6937547027840482,gumbel_soft
91,0.7929867,train,0.75528115,0.6961834755705061,gumbel_soft
91,0.7929867,val,0.76367795,0.6921360847741216,gumbel_soft
91,0.7929867,test,0.7790171,0.6954268037789483,gumbel_soft
92,0.7782853,train,0.77702945,0.6805373865736415,gumbel_soft
92,0.7782853,val,0.785144,0.6808886410113404,gumbel_soft
92,0.7782853,test,0.7818556,0.6854778028592927,gumbel_soft
93,0.7597949,train,0.76736945,0.7030253950455781,gumbel_soft
93,0.7597949,val,0.77666664,0.7049637479085332,gumbel_soft
93,0.7597949,test,0.80435395,0.6967644845748683,gumbel_soft
94,0.77109855,train,0.77658385,0.6907950746485599,gumbel_soft
94,0.77109855,val,0.7723134,0.6918572225320692,gumbel_soft
94,0.77109855,test,0.78733486,0.6886547947496029,gumbel_soft
95,0.7708441,train,0.765646,0.6922589754770656,gumbel_soft
95,0.7708441,val,0.78839695,0.6813534114147611,gumbel_soft
95,0.7708441,test,0.84423614,0.654125909204916,gumbel_soft
96,0.78063226,train,0.79158723,0.6743287858967171,gumbel_soft
96,0.78063226,val,0.79269314,0.6707566462167689,gumbel_soft
96,0.78063226,test,0.76633656,0.6778697433324973,gumbel_soft
97,0.78894216,train,0.7794271,0.6865175771922174,gumbel_soft
97,0.78894216,val,0.8038229,0.6740100390407139,gumbel_soft
97,0.78894216,test,0.7941084,0.6766992726360672,gumbel_soft
98,0.7828942,train,0.78756833,0.6774330862351793,gumbel_soft
98,0.7828942,val,0.8143341,0.6640639524075107,gumbel_soft
98,0.7828942,test,0.7833386,0.6751107766909121,gumbel_soft
99,0.787225,train,0.77922744,0.6943977242052368,gumbel_soft
99,0.787225,val,0.79734945,0.702175125488009,gumbel_soft
99,0.787225,test,0.80532056,0.6805451049243374,gumbel_soft
100,0.7918898,train,0.77982396,0.6807554143566104,gumbel_soft
100,0.7918898,val,0.7976627,0.6690834727644543,gumbel_soft
100,0.7918898,test,0.8209996,0.6646601454727865,gumbel_soft
101,0.7978887,train,0.77867645,0.6916671857804356,gumbel_soft
101,0.7978887,val,0.7780721,0.6947387990332775,gumbel_soft
101,0.7978887,test,0.81213295,0.6775353231335173,gumbel_soft
102,0.78716063,train,0.7975483,0.6800909487323242,gumbel_soft
102,0.78716063,val,0.80620515,0.6708496002974531,gumbel_soft
102,0.78716063,test,0.8200262,0.6680879525123318,gumbel_soft
103,0.7969105,train,0.8040466,0.66915841275774,gumbel_soft
103,0.7969105,val,0.8471467,0.6530953708867819,gumbel_soft
103,0.7969105,test,0.8328296,0.653707883956191,gumbel_soft
104,0.878474,train,0.8527345,0.6321871301314396,gumbel_soft
104,0.878474,val,0.85656893,0.6395240751068972,gumbel_soft
104,0.878474,test,0.8887041,0.6241116963464594,gumbel_soft
105,0.866796,train,0.81578386,0.6563363026640918,gumbel_soft
105,0.866796,val,0.8328933,0.6533742331288344,gumbel_soft
105,0.866796,test,0.8247097,0.6588913970403812,gumbel_soft
106,0.8267966,train,0.82586795,0.6655453809256837,gumbel_soft
106,0.8267966,val,0.8192829,0.6695482431678751,gumbel_soft
106,0.8267966,test,0.85564244,0.6620683889306914,gumbel_soft
107,0.8156353,train,0.8422345,0.6509167549160074,gumbel_soft
107,0.8156353,val,0.8367473,0.6520728759992563,gumbel_soft
107,0.8156353,test,0.8655583,0.6394114204497952,gumbel_soft
108,0.8102859,train,0.7985998,0.6565647127224402,gumbel_soft
108,0.8102859,val,0.8003226,0.6587655698085146,gumbel_soft
108,0.8102859,test,0.8198975,0.6445949335339854,gumbel_soft
109,0.8004455,train,0.8069859,0.6727922091405553,gumbel_soft
109,0.8004455,val,0.8006926,0.6801450083658672,gumbel_soft
109,0.8004455,test,0.8338126,0.6592258172393612,gumbel_soft
110,0.81516135,train,0.8139668,0.6631470753130256,gumbel_soft
110,0.81516135,val,0.82405156,0.6618330544710913,gumbel_soft
110,0.81516135,test,0.8102239,0.6664994565671767,gumbel_soft
111,0.8173152,train,0.8113399,0.664320272430906,gumbel_soft
111,0.8173152,val,0.8186506,0.6665737125859825,gumbel_soft
111,0.8173152,test,0.8168778,0.655965220299306,gumbel_soft
112,0.80675703,train,0.8580554,0.6224381735501152,gumbel_soft
112,0.80675703,val,0.85244095,0.6247443762781186,gumbel_soft
112,0.80675703,test,0.89877504,0.600535072318368,gumbel_soft
113,0.86794686,train,0.81508195,0.6638323054880708,gumbel_soft
113,0.86794686,val,0.8078723,0.6728945900725042,gumbel_soft
113,0.86794686,test,0.8244153,0.6613995485327314,gumbel_soft
114,0.8484324,train,0.85632485,0.6237151934217903,gumbel_soft
114,0.8484324,val,0.87894976,0.6134039784346533,gumbel_soft
114,0.8484324,test,0.87076455,0.6158347964217039,gumbel_soft
115,0.82365716,train,0.79805285,0.6692726177869142,gumbel_soft
115,0.82365716,val,0.78701025,0.6727086819111359,gumbel_soft
115,0.82365716,test,0.8087946,0.6640749101245715,gumbel_soft
116,0.8298268,train,0.8025485,0.6544155817188895,gumbel_soft
116,0.8298268,val,0.8496461,0.6324595649749024,gumbel_soft
116,0.8298268,test,0.8375106,0.6300476548783547,gumbel_soft
117,0.8123946,train,0.78230125,0.6716293942980543,gumbel_soft
117,0.8123946,val,0.7972074,0.6638780442461424,gumbel_soft
117,0.8123946,test,0.81239575,0.6522865981105259,gumbel_soft
118,0.8042119,train,0.7929921,0.6656699682302374,gumbel_soft
118,0.8042119,val,0.7968315,0.6653653095370887,gumbel_soft
118,0.8042119,test,0.8123202,0.6529554385084859,gumbel_soft
119,0.8161515,train,0.783371,0.6681824788720696,gumbel_soft
119,0.8161515,val,0.7759642,0.670198921732664,gumbel_soft
119,0.8161515,test,0.7985924,0.6646601454727865,gumbel_soft
120,0.7888337,train,0.79206705,0.6621296123258373,gumbel_soft
120,0.7888337,val,0.7815398,0.6676891615541922,gumbel_soft
120,0.7888337,test,0.8048516,0.654460329403896,gumbel_soft
121,0.7929974,train,0.78888893,0.6697605847297494,gumbel_soft
121,0.7929974,val,0.7981684,0.6673173452314557,gumbel_soft
121,0.7929974,test,0.8157339,0.654961959702366,gumbel_soft
122,0.8018979,train,0.8111484,0.6402749226520484,gumbel_soft
122,0.8018979,val,0.83233327,0.6343186465885853,gumbel_soft
122,0.8018979,test,0.8148489,0.6403310759969902,gumbel_soft
123,0.81428885,train,0.79294586,0.6621088477750784,gumbel_soft
123,0.81428885,val,0.7955181,0.6641569064881948,gumbel_soft
123,0.81428885,test,0.8036323,0.6577209263439512,gumbel_soft
124,0.7932744,train,0.84206825,0.6434726634689258,gumbel_soft
124,0.7932744,val,0.8539212,0.6310652537646403,gumbel_soft
124,0.7932744,test,0.85028136,0.6455981941309256,gumbel_soft
125,0.81208813,train,0.7885602,0.664455242010839,gumbel_soft
125,0.81208813,val,0.7984963,0.6599739728574084,gumbel_soft
125,0.81208813,test,0.8083837,0.6565504556475211,gumbel_soft
126,0.81225675,train,0.8332137,0.6419983803650408,gumbel_soft
126,0.81225675,val,0.84172213,0.6510503811117309,gumbel_soft
126,0.81225675,test,0.84990615,0.6350639578630549,gumbel_soft
127,0.8125891,train,0.7794256,0.6624929919641188,gumbel_soft
127,0.8125891,val,0.8065296,0.6485406209332589,gumbel_soft
127,0.8125891,test,0.8077033,0.654209514254661,gumbel_soft
128,0.78468484,train,0.80190384,0.6681305674951722,gumbel_soft
128,0.78468484,val,0.79738784,0.6665737125859825,gumbel_soft
128,0.78468484,test,0.8311224,0.6506981021653708,gumbel_soft
129,0.79516083,train,0.773641,0.6659606719408626,gumbel_soft
129,0.79516083,val,0.7741541,0.6731734523145566,gumbel_soft
129,0.79516083,test,0.7953881,0.6476047153248056,gumbel_soft
130,0.80190086,train,0.7959196,0.663749247285035,gumbel_soft
130,0.80190086,val,0.80216867,0.6556980851459379,gumbel_soft
130,0.80190086,test,0.8063384,0.6588913970403812,gumbel_soft
131,0.7836144,train,0.79625934,0.6577067630141822,gumbel_soft
131,0.7836144,val,0.8110361,0.6495631158207845,gumbel_soft
131,0.7836144,test,0.8054683,0.6532898587074659,gumbel_soft
132,0.7829545,train,0.79311854,0.6660956415207957,gumbel_soft
